iter	Passed	Remaining
0	1	159
1	3	177
2	5	169
3	6	154
4	8	158
5	10	161
6	12	164
7	14	161
8	15	159
9	17	157
10	19	154
11	20	152
12	22	150
13	24	149
14	25	147
15	27	144
16	29	141
17	30	140
18	32	140
19	34	138
20	36	135
21	37	133
22	39	132
23	41	130
24	42	128
25	44	127
26	46	125
27	48	124
28	50	122
29	52	121
30	53	120
31	55	118
32	57	116
33	58	114
34	60	113
35	62	111
36	64	110
37	66	109
38	68	107
39	71	106
40	72	105
41	73	102
42	75	100
43	77	98
44	80	97
45	82	96
46	84	95
47	86	93
48	88	91
49	90	90
50	91	88
51	93	86
52	95	84
53	96	82
54	98	80
55	99	78
56	101	76
57	103	74
58	104	72
59	106	70
60	107	69
61	109	67
62	111	65
63	113	63
64	115	61
65	117	60
66	118	58
67	120	56
68	122	55
69	124	53
70	126	51
71	127	49
72	129	48
73	131	46
74	132	44
75	134	42
76	136	40
77	138	38
78	139	37
79	141	35
80	143	33
81	144	31
82	146	29
83	147	28
84	149	26
85	151	24
86	152	22
87	154	21
88	156	19
89	157	17
90	159	15
91	161	14
92	162	12
93	164	10
94	166	8
95	167	6
96	169	5
97	171	3
98	172	1
99	174	0
